iter	Logloss
0	0.6882245286
1	0.6823128835
2	0.6771133413
3	0.6725218802
4	0.6667701695
5	0.6619906657
6	0.6567006941
7	0.6525012214
8	0.6471814194
9	0.6418891109
10	0.637123642
11	0.6323891359
12	0.6282906595
13	0.6239273466
14	0.6197085504
15	0.6154934752
16	0.6114259758
17	0.607575926
18	0.6039596609
19	0.5999753511
20	0.5960059942
21	0.5927190037
22	0.5891559845
23	0.5850647333
24	0.5814221472
25	0.5782954961
26	0.5749442212
27	0.5712326826
28	0.5682820458
29	0.5663517603
30	0.562502798
31	0.5595809329
32	0.5567944948
33	0.5542072973
34	0.5507244908
35	0.5482207849
36	0.5450170015
37	0.5421480918
38	0.5393805685
39	0.5367112618
40	0.5338778405
41	0.531325924
42	0.5281362495
43	0.5251263876
44	0.5226517829
45	0.520332394
46	0.5180929623
47	0.5155641793
48	0.5130765616
49	0.5109556662
50	0.5090816354
51	0.5066743903
52	0.5041777511
53	0.5017686571
54	0.499252227
55	0.4970548804
56	0.4959385231
57	0.494055404
58	0.491704149
59	0.4901966206
60	0.4884019375
61	0.4869474892
62	0.4856349915
63	0.4842122819
64	0.4826722955
65	0.481338111
66	0.4796879913
67	0.4783125612
68	0.4764555431
69	0.4749767002
70	0.473382228
71	0.4717588723
72	0.470115952
73	0.4685657747
74	0.4670988384
75	0.4657327676
76	0.4644732805
77	0.4634042262
78	0.4626564574
79	0.4612889326
80	0.4601448945
81	0.4587926742
82	0.4580441591
83	0.4570520895
84	0.4556946859
85	0.4544026457
86	0.4532886979
87	0.4521406985
88	0.4511447245
89	0.4494920749
90	0.4483829933
91	0.4473881522
92	0.446414803
93	0.4449071505
94	0.4435543832
95	0.4423473638
96	0.4413162127
97	0.4405497884
98	0.4394451833
99	0.4390270702
100	0.4380719936
101	0.4370436062
102	0.4362299899
103	0.4350566186
104	0.4342172312
105	0.4335910547
106	0.4329582818
107	0.4318917768
108	0.4309385669
109	0.4303466735
110	0.4300482442
111	0.4290663919
112	0.4288064416
113	0.4278300235
114	0.4269567703
115	0.4262145387
116	0.4259712382
117	0.4253788802
118	0.4245037112
119	0.423469113
120	0.4232052855
121	0.4225769397
122	0.4220009048
123	0.4212670606
124	0.4205941817
125	0.4197863737
126	0.4190571343
127	0.4185748296
128	0.4177344294
129	0.4172433095
130	0.4164621648
131	0.4155437284
132	0.4147554204
133	0.4143195135
134	0.4135969054
135	0.413107321
136	0.4122646044
137	0.4115907966
138	0.4108419775
139	0.4102486888
140	0.4101080085
141	0.409625435
142	0.4088473546
143	0.4080305255
144	0.407236861
145	0.4066407012
146	0.4064981541
147	0.4060401369
148	0.405362902
149	0.404700593
150	0.4042464459
151	0.4037450163
152	0.403379042
153	0.4027828956
154	0.4024754655
155	0.4020001977
156	0.4013125065
157	0.4007153196
158	0.4001697187
159	0.3994523352
160	0.398893449
161	0.3982814898
162	0.3979059066
163	0.3974277256
164	0.3969525836
165	0.3962128138
166	0.3956106176
167	0.3948289937
168	0.3946367717
169	0.394133824
170	0.3935901477
171	0.3929327264
172	0.3926716999
173	0.3920098733
174	0.3913944135
175	0.3911426866
176	0.390815596
177	0.3905776067
178	0.3903544448
179	0.389964128
180	0.3895743932
181	0.3892849091
182	0.3891710364
183	0.3887089987
184	0.388231051
185	0.3877133463
186	0.3869838233
187	0.3863529867
188	0.3858471702
189	0.385585735
190	0.3850687818
191	0.384903536
192	0.384420611
193	0.383769745
194	0.3834397421
195	0.3830656375
196	0.3828333086
197	0.3822925375
198	0.3818438962
199	0.3814866029
200	0.3810841316
201	0.3808686113
202	0.3806363825
203	0.3801813878
204	0.3796559124
205	0.3793007438
206	0.3791111825
207	0.3787670945
208	0.3782485085
209	0.377893574
210	0.3774420046
211	0.3768936728
212	0.3765862439
213	0.376420281
214	0.3760518452
215	0.3755761796
216	0.3752162927
217	0.3749268892
218	0.3743945395
219	0.3740496421
220	0.3739189827
221	0.3735464426
222	0.3732316715
223	0.3727640722
224	0.3724378888
225	0.3721799839
226	0.3718239385
227	0.3715547953
228	0.3712568939
229	0.3708367532
230	0.3703816856
231	0.3699795935
232	0.3698649666
233	0.3698132354
234	0.3695711297
235	0.3692326385
236	0.3691762052
237	0.3686706593
238	0.3681420169
239	0.3676949738
240	0.3673556737
241	0.3671120507
242	0.3671080586
243	0.3668018861
244	0.3665755968
245	0.3664195901
246	0.3661897586
247	0.366041229
248	0.3657960836
249	0.3654738687
250	0.3649858677
251	0.3646402024
252	0.364245585
253	0.3640126209
254	0.3636961742
255	0.3633679293
256	0.3632546444
257	0.3628382569
258	0.3624881503
259	0.3622903795
260	0.362010281
261	0.3615337648
262	0.3612861652
263	0.3608826929
264	0.3604487166
265	0.3600554172
266	0.3599786001
267	0.3597559575
268	0.359309641
269	0.3588503321
270	0.3585854134
271	0.3582905076
272	0.3580482585
273	0.3578334301
274	0.3575135854
275	0.35731851
276	0.3570253025
277	0.3568254936
278	0.3565770793
279	0.3560745788
280	0.3558800616
281	0.3556870634
282	0.3552810732
283	0.3551648911
284	0.3549067884
285	0.3547690218
286	0.3546648679
287	0.3543900589
288	0.3539716785
289	0.3535040571
290	0.3532202718
291	0.3525915494
292	0.3524442946
293	0.3522530795
294	0.3519339135
295	0.3517692156
296	0.3514296125
297	0.351141771
298	0.3509352897
299	0.3508475215
300	0.3505864635
301	0.3503434518
302	0.3500928324
303	0.349929343
304	0.3496451133
305	0.3494473741
306	0.3492834376
307	0.3491849412
308	0.3489351287
309	0.3487087344
310	0.3485598233
311	0.3481966853
312	0.3481121883
313	0.3478314119
314	0.3475234377
315	0.3472707569
316	0.3468626816
317	0.3467431105
318	0.3463258832
319	0.3459786751
320	0.3458063287
321	0.3455462074
322	0.345262167
323	0.3448761472
324	0.3445757563
325	0.3443528162
326	0.344089214
327	0.3436410751
328	0.3433520779
329	0.3431639194
330	0.3429066453
331	0.3426998165
332	0.3424755771
333	0.3422579349
334	0.3420904627
335	0.3419457588
336	0.3416813752
337	0.341445991
338	0.3413836382
339	0.341209895
340	0.3410349361
341	0.340881844
342	0.3406793053
343	0.3403862932
344	0.3401640243
345	0.3400321116
346	0.3397501763
347	0.3396057049
348	0.3392952469
349	0.339154788
350	0.338784359
351	0.3384120236
352	0.3382474102
353	0.3380376809
354	0.3376540379
355	0.3374846787
356	0.3372652005
357	0.3371136952
358	0.3368936214
359	0.3367963477
360	0.3364865861
361	0.3362474868
362	0.3360625228
363	0.3358370921
364	0.3355009547
365	0.3351243412
366	0.334971304
367	0.3347886459
368	0.3346058956
369	0.3343752128
370	0.3339864116
371	0.3337722502
372	0.3335799389
373	0.3331636118
374	0.3329803738
375	0.3327676052
376	0.3325869549
377	0.3323661562
378	0.3319768783
379	0.3318581151
380	0.3316531548
381	0.3312616502
382	0.3311391679
383	0.3310003365
384	0.3306774714
385	0.3305442941
386	0.3303527391
387	0.3300569739
388	0.3300169342
389	0.3299331003
390	0.3298087367
391	0.3295141225
392	0.3293420989
393	0.329190493
394	0.3288914935
395	0.3285976302
396	0.3284326567
397	0.3281965883
398	0.3281017112
399	0.3279272034
400	0.3277023825
401	0.3276564396
402	0.3272962192
403	0.3270861393
404	0.3268981465
405	0.3266017991
406	0.3265064082
407	0.3263313187
408	0.3261685865
409	0.3260409801
410	0.3258354748
411	0.3256017262
412	0.3253596795
413	0.3250537147
414	0.3248736603
415	0.324599071
416	0.3243534069
417	0.3241298332
418	0.3239412051
419	0.3236954441
420	0.3233148172
421	0.3231312546
422	0.3229801719
423	0.3226284908
424	0.3223594314
425	0.3222172819
426	0.3221663297
427	0.3220230964
428	0.3218315948
429	0.321683628
430	0.3215719776
431	0.3214604285
432	0.3211340829
433	0.3208916281
434	0.3207816645
435	0.3206161112
436	0.3204566716
437	0.3203341082
438	0.3202021929
439	0.3199266845
440	0.3198804331
441	0.3196661861
442	0.319447199
443	0.3191453791
444	0.3189425844
445	0.3186076519
446	0.3182994194
447	0.3182237621
448	0.3179719046
449	0.3178924452
450	0.3177247892
451	0.3176096788
452	0.317247131
453	0.317108263
454	0.3169515902
455	0.3168218588
456	0.3165190831
457	0.3164431525
458	0.3164203242
459	0.3162617818
460	0.3160425904
461	0.3159859029
462	0.3157264262
463	0.3155797712
464	0.3154022039
465	0.3151290773
466	0.3147312049
467	0.3144928436
468	0.3141438698
469	0.314046509
470	0.3138806931
471	0.3137217032
472	0.3134588281
473	0.3132862798
474	0.3131178819
475	0.3129982083
476	0.3127510683
477	0.312436817
478	0.3123836588
479	0.3122050297
480	0.3121141554
481	0.3118275726
482	0.3117332195
483	0.3115946676
484	0.3114936256
485	0.3112331525
486	0.3111074886
487	0.3108139143
488	0.3106348645
489	0.3104045382
490	0.3103269825
491	0.3101554579
492	0.3100186106
493	0.3098150586
494	0.3096672219
495	0.3095018159
496	0.3093188933
497	0.30925884
498	0.3090354014
499	0.3089864192
500	0.3089056128
501	0.3086537442
502	0.3085381231
503	0.308222518
504	0.3081953833
505	0.3081286968
506	0.3080901456
507	0.3080358642
508	0.3078416514
509	0.3076135028
510	0.3074029313
511	0.3072417671
512	0.3070617052
513	0.30690212
514	0.3067598053
515	0.3066472521
516	0.3064811188
517	0.3063106771
518	0.3060255043
519	0.3059597622
520	0.3058548832
521	0.3055511958
522	0.3054468374
523	0.3051074792
524	0.3047053065
525	0.3045883854
526	0.3043904431
527	0.3042941188
528	0.3038858331
529	0.3037674421
530	0.3036166299
531	0.303375931
532	0.3031211223
533	0.30305266
534	0.3028597616
535	0.3027504239
536	0.3026030006
537	0.3024507213
538	0.3023744242
539	0.3021543836
540	0.3020613209
541	0.3019834202
542	0.3016599049
543	0.3015351197
544	0.3014469374
545	0.3013266458
546	0.3012677445
547	0.3010646917
548	0.3008897786
549	0.3008384806
550	0.3006583206
551	0.3003342042
552	0.3002238527
553	0.2999991314
554	0.2998907371
555	0.2997037296
556	0.2995576508
557	0.2993804067
558	0.2991862252
559	0.2991102506
560	0.2990468029
561	0.2988689969
562	0.2988030957
563	0.2986139155
564	0.298404587
565	0.2982998768
566	0.2980331831
567	0.2979216458
568	0.2978670324
569	0.2977737632
570	0.2976235401
571	0.2974101821
572	0.297265184
573	0.2972320506
574	0.2971610842
575	0.2970166335
576	0.2967617874
577	0.2965403194
578	0.296263395
579	0.2961660766
580	0.2960331401
581	0.2958795265
582	0.2956055609
583	0.2953628642
584	0.295270063
585	0.29508576
586	0.2949374681
587	0.2948453305
588	0.2945852152
589	0.294399939
590	0.2943305404
591	0.2942456851
592	0.2940853941
593	0.2939680013
594	0.2939093916
595	0.2936263559
596	0.2934220823
597	0.293364388
598	0.2932752301
599	0.2930679856
600	0.2928779499
601	0.2927024765
602	0.2924688377
603	0.2924009962
604	0.2922519133
605	0.2919565821
606	0.2918036499
607	0.2915916192
608	0.2913647601
609	0.2911990688
610	0.29098516
611	0.2907887155
612	0.2907514404
613	0.2906307211
614	0.2904302453
615	0.2903536976
616	0.2901440426
617	0.2900733786
618	0.2899450595
619	0.2898088335
620	0.2895459682
621	0.2894500071
622	0.2891735673
623	0.2890295951
624	0.2888659479
625	0.2887426738
626	0.2886561806
627	0.2885532945
628	0.2882827134
629	0.2880926302
630	0.2879098083
631	0.2875940882
632	0.2873886859
633	0.2872605841
634	0.2870948786
635	0.2868898514
636	0.2868182477
637	0.2867019562
638	0.2865825924
639	0.2864793612
640	0.2863569923
641	0.286085587
642	0.2859035012
643	0.2856627991
644	0.285393431
645	0.285246918
646	0.2849939764
647	0.2849210009
648	0.2848374903
649	0.2846206871
650	0.2845285391
651	0.2843881833
652	0.2842543595
653	0.2840993586
654	0.2839947947
655	0.2839380084
656	0.2837426169
657	0.2834740157
658	0.2833918741
659	0.2830271125
660	0.2826930092
661	0.2824860937
662	0.2824741605
663	0.2823142009
664	0.2822303124
665	0.281987748
666	0.2817611722
667	0.2815698341
668	0.2815313393
669	0.2813945437
670	0.281384654
671	0.2811134294
672	0.2808343993
673	0.2807227511
674	0.2805946288
675	0.2803264162
676	0.280140751
677	0.2799558363
678	0.2797668643
679	0.2796061609
680	0.2794995391
681	0.2794178784
682	0.2792660262
683	0.2790988526
684	0.2790156082
685	0.2789431172
686	0.2787724187
687	0.2785700478
688	0.2784122968
689	0.278224993
690	0.2780979131
691	0.2780003515
692	0.277876684
693	0.2777403514
694	0.2776299798
695	0.2775995373
696	0.2774593692
697	0.2772361071
698	0.2771263501
699	0.2768506025
700	0.2766585753
701	0.2764826922
702	0.276291436
703	0.2761896644
704	0.2760571533
705	0.2758528416
706	0.2757199811
707	0.2756345376
708	0.2754551115
709	0.2752460454
710	0.2750518752
711	0.2749360526
712	0.274796738
713	0.2745983937
714	0.2744544945
715	0.2744092624
716	0.2743146894
717	0.2742331325
718	0.2740438969
719	0.2739779321
720	0.2738619502
721	0.2736768769
722	0.2735242491
723	0.2732746701
724	0.273107044
725	0.2729808409
726	0.2728770419
727	0.272816114
728	0.2727071075
729	0.2723874905
730	0.272310965
731	0.2721770754
732	0.2720582999
733	0.2717804534
734	0.2715983856
735	0.2714075956
736	0.271345863
737	0.2711214257
738	0.2708622485
739	0.2708010651
740	0.2707663306
741	0.2706836753
742	0.2704856162
743	0.2703436971
744	0.2701236258
745	0.269956281
746	0.2699327811
747	0.2697011343
748	0.2694810839
749	0.2693179461
750	0.269072202
751	0.2690408818
752	0.2689194986
753	0.2687302711
754	0.2686839981
755	0.2685671039
756	0.2684408634
757	0.2681657027
758	0.2679269033
759	0.2676948482
760	0.267534429
761	0.2673687163
762	0.2672084446
763	0.2670425904
764	0.2668931737
765	0.2668043088
766	0.2666819496
767	0.2666168053
768	0.2665120983
769	0.266364639
770	0.2661675081
771	0.2658863967
772	0.2657009845
773	0.2655128522
774	0.2653152184
775	0.2650888032
776	0.2650193586
777	0.2649717274
778	0.2648598442
779	0.2647099393
780	0.2645546498
781	0.2643341338
782	0.2642624277
783	0.2640554119
784	0.2638910606
785	0.2637480215
786	0.2635142157
787	0.2633179213
788	0.2631758893
789	0.2629649361
790	0.2628064818
791	0.2625162143
792	0.2623263682
793	0.2619156699
794	0.261887525
795	0.2617938057
796	0.2616849252
797	0.2616343187
798	0.2614678448
799	0.2614156228
800	0.261350372
801	0.2611921742
802	0.2609454272
803	0.2608547257
804	0.260736726
805	0.2606149194
806	0.2603941184
807	0.260370958
808	0.260200569
809	0.2600944886
810	0.2598759012
811	0.2597343474
812	0.2595039691
813	0.2593929947
814	0.2591859915
815	0.2591152956
816	0.2590231646
817	0.2588565467
818	0.2586452319
819	0.2585978769
820	0.2585153382
821	0.25836815
822	0.2582673482
823	0.2581574948
824	0.2579541754
825	0.257741654
826	0.2575764499
827	0.2574942084
828	0.2573291144
829	0.2572731533
830	0.2571657781
831	0.2571429923
832	0.2570470501
833	0.2567930942
834	0.2565849893
835	0.2564621507
