iter	Passed	Remaining
0	2	2289
1	3	1660
2	4	1421
3	5	1312
4	6	1235
5	7	1182
6	7	1100
7	8	1022
8	9	1010
9	10	993
10	11	1033
11	12	1062
12	13	1060
13	14	1043
14	15	1010
15	15	976
16	16	957
17	17	939
18	17	920
19	18	918
20	19	901
21	20	890
22	20	876
23	21	862
24	21	850
25	22	841
26	23	830
27	23	820
28	24	810
29	24	794
30	25	785
31	25	776
32	26	763
33	26	759
34	27	753
35	27	746
36	28	739
37	29	734
38	29	728
39	30	722
40	30	718
41	31	714
42	31	711
43	32	707
44	33	703
45	33	699
46	34	695
47	34	691
48	35	688
49	36	684
50	36	679
51	37	677
52	37	675
53	38	672
54	38	669
55	39	665
56	39	658
57	40	654
58	40	651
59	41	648
60	41	645
61	42	642
62	42	636
63	43	633
64	43	631
65	44	626
66	44	624
67	45	620
68	45	618
69	46	615
70	46	613
71	47	611
72	47	608
73	48	606
74	49	604
75	49	602
76	50	600
77	50	598
78	51	596
79	51	595
80	52	593
81	52	591
82	53	589
83	53	587
84	54	586
85	54	584
86	55	582
87	56	581
88	56	579
89	57	578
90	57	576
91	58	575
92	58	573
93	59	572
94	59	570
95	60	569
96	61	568
97	61	566
98	62	564
99	62	561
100	62	560
101	63	558
102	64	557
103	64	556
104	65	554
105	65	553
106	66	552
107	66	551
108	67	549
109	67	548
110	68	545
111	68	544
112	68	541
113	69	540
114	70	539
115	70	538
116	71	535
117	71	534
118	72	533
119	72	532
120	73	530
121	73	529
122	74	528
123	74	527
124	75	526
125	75	525
126	76	524
127	76	522
128	77	521
129	77	520
130	78	519
131	78	518
132	79	517
133	79	516
134	80	515
135	81	514
136	81	513
137	82	512
138	82	511
139	83	510
140	83	508
141	84	507
142	84	506
143	85	505
144	85	505
145	86	504
146	86	502
147	87	501
148	87	500
149	88	499
150	88	498
151	89	497
152	89	496
153	90	496
154	90	495
155	91	494
156	91	493
157	92	492
158	93	492
159	93	491
160	94	490
161	94	489
162	95	488
163	95	488
164	96	487
165	96	486
166	97	485
167	97	484
168	98	483
169	98	482
170	99	481
171	99	481
172	100	480
173	101	479
174	101	478
175	102	477
176	102	477
177	103	476
178	103	475
179	104	474
180	104	473
181	105	472
182	105	471
183	106	470
184	106	469
185	107	469
186	107	468
187	108	467
188	108	466
189	109	466
190	109	465
191	110	464
192	110	463
193	111	463
194	112	462
195	112	461
196	113	460
197	113	460
198	114	459
199	114	458
200	115	458
201	115	457
202	116	456
203	116	456
204	117	455
205	117	454
206	118	453
207	119	453
208	119	452
209	120	451
210	120	451
211	121	450
212	121	449
213	122	448
214	122	447
215	123	447
216	123	446
217	127	457
218	128	457
219	128	457
220	129	456
221	130	456
222	130	456
223	131	455
224	132	455
225	132	455
226	133	454
227	134	454
228	134	454
229	135	453
230	136	453
231	136	452
232	137	452
233	137	450
234	138	450
235	138	449
236	139	448
237	140	448
238	140	447
239	141	446
240	141	446
241	142	445
242	142	443
243	143	443
244	143	442
245	144	441
246	144	440
247	145	440
248	145	439
249	146	438
250	146	438
251	147	437
252	148	437
253	148	436
254	149	435
255	149	434
256	150	433
257	150	433
258	151	432
259	151	431
260	152	430
261	152	430
262	153	429
263	153	428
264	154	428
265	154	427
266	155	426
267	156	426
268	156	425
269	157	425
270	157	424
271	158	423
272	158	423
273	159	422
274	160	421
275	160	421
276	161	420
277	161	419
278	162	419
279	162	418
280	163	417
281	163	417
282	164	416
283	164	415
284	165	414
285	165	414
286	166	413
287	166	412
288	167	411
289	167	411
290	168	410
291	169	409
292	169	409
293	170	408
294	170	407
295	171	407
296	171	406
297	172	405
298	172	405
299	173	404
300	173	403
301	174	403
302	175	402
303	175	402
304	176	401
305	176	400
306	177	400
307	177	399
308	178	398
309	178	398
310	179	397
311	180	396
312	180	396
313	181	395
314	181	395
315	182	394
316	182	393
317	183	393
318	183	392
319	184	392
320	185	392
321	185	391
322	186	391
323	191	399
324	192	399
325	193	399
326	193	399
327	194	398
328	196	400
329	197	400
330	198	400
331	199	400
332	199	400
333	200	399
334	201	400
335	202	400
336	203	399
337	204	400
338	205	400
339	205	399
340	206	399
341	207	398
342	207	398
343	208	397
344	209	396
345	209	396
346	210	395
347	210	394
348	211	394
349	211	393
350	212	393
351	213	392
352	214	392
353	214	391
354	216	393
355	217	393
356	218	393
357	218	392
358	219	391
359	219	390
360	220	390
361	221	389
362	221	388
363	222	388
364	222	387
365	223	386
366	223	386
367	224	385
368	224	384
369	225	383
370	225	383
371	226	382
372	227	381
373	227	380
374	228	380
375	228	379
376	229	378
377	229	378
378	230	377
379	230	376
380	231	375
381	231	375
382	232	374
383	233	373
384	233	373
385	234	372
386	234	371
387	235	370
388	235	370
389	236	369
390	236	368
391	237	368
392	237	367
393	238	366
394	238	366
395	239	365
396	240	364
397	240	363
398	241	363
399	241	362
400	242	361
401	242	361
402	243	360
403	243	359
404	244	359
405	245	358
406	245	357
407	246	357
408	246	356
409	247	355
410	247	355
411	248	354
412	248	353
413	249	353
414	249	352
415	250	351
416	251	350
417	251	350
418	252	349
419	252	348
420	253	348
421	253	347
422	254	346
423	254	346
424	255	345
425	255	344
426	256	344
427	257	343
428	257	342
429	258	342
430	258	341
431	259	340
432	259	340
433	260	339
434	260	338
435	261	338
436	261	337
437	262	336
438	262	336
439	263	335
440	264	334
441	264	334
442	265	333
443	265	332
444	266	332
445	266	331
446	267	330
447	267	330
448	268	329
449	269	328
450	269	328
451	270	327
452	270	326
453	271	326
454	271	325
455	272	324
456	272	324
457	273	323
458	273	322
459	274	322
460	275	321
461	275	320
462	276	320
463	276	319
464	277	318
465	277	318
466	278	317
467	278	316
468	279	316
469	279	315
470	280	314
471	280	314
472	281	313
473	281	312
